,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.253222291680543e-09,1.3101493951878386e-10,5.701702227069897e-11,4.787875112355058e-11,1.582406177028627e-11
Fp2,2.239329260590725e-09,1.3018816757425859e-10,5.539945896010166e-11,4.6573054582822883e-11,1.2549048537069419e-11
F3,2.242140622030044e-09,1.3081649122704993e-10,5.646418947485276e-11,5.4092480945389854e-11,1.7675880164512014e-11
F4,2.2511206378113177e-09,1.322662692453829e-10,5.5754335766079957e-11,5.93349212492913e-11,1.9276440510895775e-11
C3,2.21732350751449e-09,1.2757088891489337e-10,4.5210668346904236e-11,3.9908007001689834e-11,1.3083278696286131e-11
C4,2.213728465718088e-09,1.300896840550786e-10,4.7617727322408526e-11,4.095032418354299e-11,1.280637462618096e-11
P3,2.220299267766951e-09,1.3233917945044537e-10,8.937655764677281e-11,6.701543602991286e-11,1.8455388600952544e-11
P4,2.2146770471165108e-09,1.3218993288063736e-10,9.396369986060309e-11,6.551553811189178e-11,1.898179581203214e-11
O1,2.2218299720106706e-09,1.3575491865063042e-10,1.6543038762811057e-10,1.0931689234468173e-10,7.46013415098847e-11
O2,2.2208285247028312e-09,1.3785563508243074e-10,2.290298669107347e-10,1.7004433816226512e-10,1.3285264637063976e-10
F7,2.247939797793087e-09,1.316311703779907e-10,5.63304089580235e-11,5.894696238633627e-11,2.29167983187219e-11
F8,2.2570518249504448e-09,1.3155359587356623e-10,5.552110865622439e-11,5.132282396412801e-11,1.930628663359585e-11
T3,2.2202258017520606e-09,1.3087175747873252e-10,6.383642748571577e-11,6.967442711091465e-11,3.3844727380654066e-11
T4,2.231766894609988e-09,1.3332530079916638e-10,6.91713545788675e-11,7.802326597016262e-11,4.3323262157087493e-11
T5,2.213799675918653e-09,1.3384985598343824e-10,1.6278346152375707e-10,9.227756388059122e-11,2.971487647962372e-11
T6,2.2170866859455405e-09,1.3538446065152273e-10,1.759586596899571e-10,8.997488063643625e-11,3.0462051786750925e-11
Fz,2.2570208471656052e-09,1.3407332463191428e-10,5.934627178999095e-11,5.790231158074437e-11,1.4188783839925422e-11
Cz,2.244598585688302e-09,1.3293282211919395e-10,5.00301630373699e-11,4.459841290054047e-11,1.4067561807100847e-11
Pz,2.2295900613895553e-09,1.3239712398701848e-10,9.66257161776779e-11,5.6955606583883646e-11,1.6808459384273685e-11
